Child_BIRTHS_ALL_YEAR,RESID_STATE,AGE,EMPLOYMENT,EDUC_LEVEL,YEAR,marriage_dummies
0,26,11,0,0,1,0
0,26,12,0,0,1,0
1,26,14,0,0,1,1
0,26,11,0,0,1,1
0,26,8,0,0,1,0
3,26,16,7,9,1,1
1,48,5,0,0,1,0
2,48,3,0,0,1,0
0,48,1,0,0,1,0
0,48,5,0,0,1,0
0,48,2,0,0,1,0
0,26,1,0,0,1,0
0,49,4,0,0,1,0
0,26,4,0,0,1,0
0,48,2,0,0,1,0
1,48,9,0,0,1,0
1,48,8,0,0,1,1
1,26,14,0,0,1,0
0,26,11,0,0,1,0
0,48,8,0,0,1,0
0,25,12,0,0,1,0
3,26,12,0,0,1,1
0,24,11,0,0,1,0
0,24,8,0,0,1,0
1,48,16,7,8,1,1
1,48,14,0,0,1,1
0,48,15,0,0,1,0
2,49,8,0,0,1,1
0,26,12,0,0,1,0
0,26,5,0,0,1,1
0,26,2,0,0,1,1
1,26,13,0,0,1,0
1,26,5,0,0,1,1
0,26,6,0,0,1,0
0,26,6,0,0,1,0
2,40,16,7,9,1,0
1,40,17,7,9,1,0
2,40,15,0,0,1,1
5,40,11,0,0,1,0
0,40,1,0,0,1,0
4,40,11,0,0,1,1
0,26,12,0,0,1,0
0,26,9,0,0,1,0
1,48,15,0,0,1,1
0,48,3,0,0,1,0
1,48,8,0,0,1,1
1,25,14,0,0,1,1
1,48,13,0,0,1,1
0,48,9,0,0,1,0
0,25,10,0,0,1,1
0,25,9,0,0,1,0
0,48,9,0,0,1,1
0,48,8,0,0,1,0
0,48,6,0,0,1,0
1,48,16,7,10,1,1
0,48,4,0,0,1,0
0,25,16,7,10,1,1
1,25,13,0,0,1,0
0,48,1,0,0,1,0
4,26,15,0,0,1,0
1,26,13,0,0,1,1
0,25,16,1,9,1,0
0,25,11,0,0,1,0
1,26,11,0,0,1,1
0,48,12,0,0,1,0
3,26,17,7,11,1,1
3,48,14,0,0,1,0
0,48,1,0,0,1,0
1,25,13,0,0,1,1
0,25,11,0,0,1,0
0,26,1,0,0,1,0
1,26,12,0,0,1,1
0,26,10,0,0,1,0
4,26,8,0,0,1,1
0,26,7,0,0,1,1
1,26,4,0,0,1,1
0,25,1,0,0,1,0
0,48,13,0,0,1,0
0,24,1,0,0,1,0
0,49,6,0,0,1,1
0,49,3,0,0,1,0
1,26,12,0,0,1,1
0,26,10,0,0,1,0
0,26,1,0,0,1,0
0,26,14,0,0,1,1
3,26,17,7,10,1,0
0,26,14,0,0,1,0
0,26,16,7,10,1,1
1,40,11,0,0,1,1
0,26,6,0,0,1,0
0,48,1,0,0,1,0
0,24,6,0,0,1,0
0,25,8,0,0,1,0
0,25,8,0,0,1,0
2,25,11,0,0,1,1
0,25,6,0,0,1,0
0,25,3,0,0,1,0
0,25,0,0,0,1,0
0,48,1,0,0,1,0
0,48,11,0,0,1,0
0,48,2,0,0,1,0
0,48,9,0,0,1,0
3,48,14,0,0,1,1
0,26,2,0,0,1,0
0,26,16,7,9,1,0
0,26,14,0,0,1,0
3,26,13,0,0,1,0
0,26,4,0,0,1,0
2,48,7,0,0,1,1
0,25,15,0,0,1,1
1,25,13,0,0,1,1
0,25,10,0,0,1,1
0,25,9,0,0,1,1
0,25,7,0,0,1,0
0,25,4,0,0,1,0
0,25,4,0,0,1,0
0,25,5,0,0,1,0
0,24,14,0,0,1,0
0,48,7,0,0,1,0
2,26,15,0,0,1,1
0,26,2,0,0,1,0
0,26,2,0,0,1,0
3,40,11,0,0,1,0
0,40,9,0,0,1,0
4,26,16,1,9,1,1
0,26,1,0,0,1,0
0,48,2,0,0,1,0
0,24,14,0,0,1,1
0,24,11,0,0,1,0
3,24,5,0,0,1,1
0,24,4,0,0,1,0
0,48,6,0,0,1,0
0,48,12,0,0,1,0
0,26,16,1,10,1,0
3,48,6,0,0,1,1
0,48,2,0,0,1,0
0,48,9,0,0,1,0
0,48,8,0,0,1,0
0,49,1,0,0,1,0
0,26,10,0,0,1,1
2,26,12,0,0,1,1
0,26,10,0,0,1,0
3,26,11,0,0,1,1
0,25,4,0,0,1,0
0,25,2,0,0,1,0
0,25,0,0,0,1,0
0,49,10,0,0,1,0
0,49,6,0,0,1,0
0,49,4,0,0,1,0
2,48,15,0,0,1,1
0,40,10,0,0,1,0
0,25,10,0,0,1,0
0,49,4,0,0,1,1
0,49,2,0,0,1,1
2,49,14,0,0,1,1
0,49,10,0,0,1,0
0,49,5,0,0,1,0
0,25,14,0,0,1,0
3,25,11,0,0,1,0
2,40,11,0,0,1,0
0,48,0,0,0,1,0
0,26,4,0,0,1,0
0,26,2,0,0,1,0
0,26,0,0,0,1,0
0,25,11,0,0,1,0
0,25,9,0,0,1,0
0,25,1,0,0,1,0
0,25,15,0,0,1,1
0,24,1,0,0,1,0
0,25,9,0,0,1,0
6,48,11,0,0,1,0
3,48,8,0,0,1,0
0,48,1,0,0,1,0
2,48,9,0,0,1,1
2,48,6,0,0,1,0
0,48,4,0,0,1,0
0,48,1,0,0,1,0
0,48,1,0,0,1,0
2,25,15,0,0,1,1
2,25,12,0,0,1,1
0,25,5,0,0,1,0
1,48,8,0,0,1,0
0,48,17,7,10,1,1
0,25,14,0,0,1,0
0,26,3,0,0,1,0
2,26,17,1,11,1,0
2,26,15,0,0,1,1
0,26,13,0,0,1,0
0,26,7,0,0,1,0
1,26,9,0,0,1,1
1,26,7,0,0,1,0
0,26,5,0,0,1,0
0,26,4,0,0,1,0
0,26,2,0,0,1,0
0,48,0,0,0,1,0
0,49,13,0,0,1,1
2,48,17,1,9,1,1
0,48,13,0,0,1,0
0,25,7,0,0,1,0
0,26,10,0,0,1,0
0,24,13,0,0,1,1
0,48,15,0,0,1,0
0,48,7,0,0,1,0
0,48,9,0,0,1,1
0,48,6,0,0,1,0
3,48,12,0,0,1,0
0,48,6,0,0,1,0
0,48,3,0,0,1,0
3,48,13,0,0,1,1
0,48,0,0,0,1,0
2,48,14,0,0,1,1
0,48,11,0,0,1,0
0,48,5,0,0,1,0
0,48,17,7,10,1,0
0,48,4,0,0,1,0
3,48,15,0,0,1,0
0,48,9,0,0,1,0
0,48,1,0,0,1,0
0,48,1,0,0,1,0
0,48,7,0,0,1,0
1,48,3,0,0,1,0
0,48,1,0,0,1,0
0,48,0,0,0,1,0
2,48,9,0,0,1,1
0,48,5,0,0,1,0
0,48,0,0,0,1,0
5,24,16,7,10,1,0
0,24,14,0,0,1,0
0,24,11,0,0,1,0
1,24,4,0,0,1,0
1,24,5,0,0,1,0
0,24,0,0,0,1,0
0,24,4,0,0,1,0
2,48,15,0,0,1,0
0,48,14,0,0,1,0
2,26,11,0,0,1,0
0,26,9,0,0,1,0
1,26,8,0,0,1,0
0,26,3,0,0,1,0
0,26,1,0,0,1,0
5,26,0,0,0,1,0
5,26,17,7,10,1,0
2,26,15,0,0,1,0
0,26,6,0,0,1,0
0,26,1,0,0,1,0
1,26,11,0,0,1,0
2,26,10,0,0,1,0
2,26,6,0,0,1,0
0,26,5,0,0,1,0
1,26,5,0,0,1,0
3,26,2,0,0,1,0
2,26,13,0,0,1,0
0,26,0,0,0,1,0
0,26,11,0,0,1,0
2,26,6,0,0,1,0
3,26,12,0,0,1,0
2,26,10,0,0,1,0
2,26,6,0,0,1,0
1,26,6,0,0,1,0
0,26,1,0,0,1,0
0,26,0,0,0,1,0
3,26,8,0,0,1,0
1,26,16,1,10,1,1
0,26,15,0,0,1,0
1,26,14,0,0,1,0
2,26,13,0,0,1,1
3,26,13,0,0,1,0
0,26,7,0,0,1,0
3,26,11,0,0,1,0
0,24,6,0,0,1,0
0,48,17,7,10,1,0
0,48,1,0,0,1,0
0,48,1,0,0,1,0
1,48,11,0,0,1,1
2,48,14,0,0,1,0
2,48,7,0,0,1,1
0,48,6,0,0,1,0
2,48,5,0,0,1,0
1,48,3,0,0,1,0
0,26,4,0,0,1,0
0,48,8,0,0,1,0
0,48,6,0,0,1,0
0,48,5,0,0,1,0
2,48,8,0,0,1,1
3,48,14,0,0,1,1
0,48,8,0,0,1,0
0,48,6,0,0,1,0
0,24,5,0,0,1,0
3,48,9,0,0,1,0
0,48,2,0,0,1,0
3,48,12,0,0,1,0
0,24,10,0,0,1,0
0,24,4,0,0,1,0
0,24,1,0,0,1,0
0,24,11,0,0,1,1
0,26,5,0,0,1,0
0,26,17,7,10,1,0
0,26,4,0,0,1,0
2,26,11,0,0,1,0
0,26,1,0,0,1,0
0,24,16,7,10,1,0
2,26,0,0,0,1,1
0,26,10,0,0,1,0
0,26,9,0,0,1,0
0,26,4,0,0,1,0
2,24,13,0,0,1,0
0,48,9,0,0,1,0
1,48,9,0,0,1,0
0,48,2,0,0,1,0
0,48,17,1,10,1,1
1,48,16,7,9,1,0
2,48,4,0,0,1,0
0,48,2,0,0,1,0
1,24,11,0,0,1,0
2,24,10,0,0,1,0
1,24,10,0,0,1,0
1,24,6,0,0,1,0
1,24,15,0,0,1,0
0,24,10,0,0,1,0
0,24,3,0,0,1,0
3,26,13,0,0,1,0
1,26,10,0,0,1,1
0,26,10,0,0,1,0
0,26,1,0,0,1,0
4,26,14,0,0,1,1
2,26,10,0,0,1,0
0,24,16,7,10,1,0
2,48,11,0,0,1,0
3,48,17,7,10,1,0
1,48,8,0,0,1,0
0,48,6,0,0,1,0
2,48,8,0,0,1,1
1,48,16,1,11,1,1
0,48,10,0,0,1,0
0,48,8,0,0,1,0
1,24,14,0,0,1,0
2,24,10,0,0,1,0
1,24,7,0,0,1,0
0,24,3,0,0,1,0
2,24,0,0,0,1,0
0,24,8,0,0,1,0
0,24,5,0,0,1,0
0,24,1,0,0,1,0
0,48,4,0,0,1,0
2,24,6,0,0,1,0
2,24,13,0,0,1,0
0,48,11,0,0,1,0
2,48,8,0,0,1,0
0,48,5,0,0,1,0
0,48,1,0,0,1,0
0,48,0,0,0,1,0
0,24,6,0,0,1,0
2,26,13,0,0,1,0
1,26,11,0,0,1,0
0,26,9,0,0,1,0
0,26,9,0,0,1,0
1,26,9,0,0,1,0
0,26,5,0,0,1,0
0,48,1,0,0,1,0
0,48,2,0,0,1,0
0,48,8,0,0,1,0
0,48,7,0,0,1,0
2,26,8,0,0,1,0
0,26,5,0,0,1,0
0,26,1,0,0,1,0
4,26,0,0,0,1,0
1,26,0,0,0,1,0
0,48,7,0,0,1,0
1,24,11,0,0,1,0
4,24,11,0,0,1,0
1,24,9,0,0,1,0
0,48,6,0,0,1,0
0,48,3,0,0,1,0
2,26,14,0,0,1,1
0,24,15,0,0,1,0
0,24,5,0,0,1,0
0,24,9,0,0,1,0
3,48,12,0,0,1,0
2,48,10,0,0,1,0
0,48,8,0,0,1,0
0,48,6,0,0,1,0
0,48,6,0,0,1,0
0,48,8,0,0,1,0
1,48,10,0,0,1,0
0,48,9,0,0,1,0
0,48,6,0,0,1,0
1,24,16,7,11,1,0
0,24,7,0,0,1,0
0,26,9,0,0,1,0
0,26,2,0,0,1,0
0,26,2,0,0,1,0
1,26,11,0,0,1,0
0,26,1,0,0,1,0
1,26,12,0,0,1,0
0,26,9,0,0,1,0
0,26,7,0,0,1,0
0,26,1,0,0,1,0
0,26,0,0,0,1,0
3,26,0,0,0,1,0
5,48,9,0,0,1,0
0,48,16,7,10,1,0
0,24,1,0,0,1,0
0,24,6,0,0,1,0
0,24,8,0,0,1,0
1,24,5,0,0,1,0
0,24,11,0,0,1,0
4,24,12,0,0,1,1
0,24,3,0,0,1,0
0,24,2,0,0,1,0
2,48,15,0,0,1,0
0,48,7,0,0,1,0
1,48,7,0,0,1,0
1,48,2,0,0,1,0
2,48,7,0,0,1,1
2,48,11,0,0,1,1
3,24,16,7,11,1,1
0,24,6,0,0,1,0
0,24,13,0,0,1,0
1,24,8,0,0,1,0
0,24,4,0,0,1,0
1,24,4,0,0,1,0
1,24,12,0,0,1,0
0,24,8,0,0,1,0
0,24,11,0,0,1,0
0,24,7,0,0,1,0
0,24,4,0,0,1,0
0,24,9,0,0,1,0
1,24,12,0,0,1,0
2,24,14,0,0,1,1
0,24,1,0,0,1,0
2,48,17,7,10,1,0
0,48,9,0,0,1,0
0,48,0,0,0,1,0
0,26,13,0,0,3,0
3,24,12,0,0,3,1
1,26,16,1,11,3,1
0,26,14,0,0,3,1
0,26,10,0,0,3,0
3,26,18,1,11,3,1
1,48,7,0,0,3,0
2,48,5,0,0,3,0
0,48,2,0,0,3,0
0,48,7,0,0,3,0
0,48,3,0,0,3,0
0,26,10,0,0,3,0
0,26,3,0,0,3,0
0,49,6,0,0,3,0
1,49,17,1,11,3,0
0,26,6,0,0,3,0
0,48,3,0,0,3,0
1,48,11,0,0,3,0
1,48,10,0,0,3,1
1,26,16,7,10,3,0
0,26,13,0,0,3,0
1,40,13,0,0,3,0
0,48,10,0,0,3,0
3,26,14,0,0,3,1
0,24,12,0,0,3,0
0,24,10,0,0,3,0
1,48,18,1,12,3,1
1,48,16,7,10,3,1
0,48,17,7,10,3,0
2,49,10,0,0,3,1
0,26,15,0,0,3,0
0,26,7,0,0,3,1
0,26,4,0,0,3,1
1,26,15,0,0,3,0
1,26,8,0,0,3,1
0,26,8,0,0,3,0
0,26,8,0,0,3,0
2,40,18,1,12,3,0
1,40,19,1,12,3,0
2,40,18,1,9,3,1
5,40,14,0,0,3,0
0,40,3,0,0,3,0
4,40,13,0,0,3,1
0,26,14,0,0,3,0
0,26,11,0,0,3,0
1,48,17,1,10,3,1
0,48,5,0,0,3,0
1,48,9,0,0,3,1
0,25,3,0,0,3,0
1,25,15,0,0,3,1
1,48,15,0,0,3,1
0,48,11,0,0,3,0
0,25,12,0,0,3,1
0,25,11,0,0,3,0
0,48,12,0,0,3,1
0,48,10,0,0,3,0
0,48,8,0,0,3,0
1,48,18,7,11,3,1
0,48,7,0,0,3,0
0,25,19,7,13,3,1
1,25,16,7,10,3,0
0,48,2,0,0,3,0
8,26,18,7,10,3,0
3,26,17,7,10,3,0
4,26,17,7,12,3,0
1,26,15,0,0,3,1
0,25,18,1,11,3,0
0,25,13,0,0,3,0
1,26,14,0,0,3,1
0,48,14,0,0,3,0
3,26,18,1,12,3,1
3,48,16,7,11,3,0
0,48,2,0,0,3,0
1,25,15,0,0,3,1
0,25,13,0,0,3,0
0,26,2,0,0,3,0
1,26,14,0,0,3,1
0,26,12,0,0,3,0
4,26,10,0,0,3,1
0,26,10,0,0,3,1
1,26,6,0,0,3,1
0,25,3,0,0,3,0
0,48,15,0,0,3,0
0,49,8,0,0,3,1
0,49,5,0,0,3,0
1,26,14,0,0,3,1
0,26,12,0,0,3,0
0,26,2,0,0,3,0
0,26,16,7,10,3,1
3,26,19,1,12,3,0
0,26,16,7,1,3,0
0,26,18,7,12,3,1
1,40,13,0,0,3,1
0,26,8,0,0,3,0
0,48,3,0,0,3,0
0,24,8,0,0,3,0
0,25,10,0,0,3,0
0,25,10,0,0,3,0
2,25,12,0,0,3,1
0,25,7,0,0,3,0
0,25,5,0,0,3,0
0,25,1,0,0,3,0
0,48,3,0,0,3,0
0,48,12,0,0,3,0
0,48,4,0,0,3,0
0,48,11,0,0,3,0
3,48,17,7,10,3,1
0,26,3,0,0,3,0
0,26,18,7,11,3,0
0,26,16,7,9,3,0
3,26,15,0,0,3,0
0,26,6,0,0,3,0
2,48,9,0,0,3,1
0,25,17,7,10,3,1
1,25,15,0,0,3,1
0,25,12,0,0,3,1
0,25,12,0,0,3,1
0,25,9,0,0,3,0
0,25,7,0,0,3,0
0,25,6,0,0,3,0
0,25,7,0,0,3,0
0,24,16,7,10,3,0
0,48,9,0,0,3,0
2,26,18,7,9,3,1
3,40,13,0,0,3,0
0,40,11,0,0,3,0
4,26,18,1,10,3,1
0,26,3,0,0,3,0
0,48,3,0,0,3,0
0,24,16,7,11,3,1
0,24,13,0,0,3,0
0,40,8,0,0,3,1
3,24,7,0,0,3,1
0,24,6,0,0,3,0
0,48,8,0,0,3,0
0,48,14,0,0,3,0
0,26,18,1,13,3,0
3,48,8,0,0,3,1
0,48,4,0,0,3,0
0,48,11,0,0,3,0
0,48,10,0,0,3,0
0,49,2,0,0,3,0
0,26,12,0,0,3,1
2,26,14,0,0,3,1
0,26,12,0,0,3,0
3,26,13,0,0,3,1
0,25,6,0,0,3,0
0,25,4,0,0,3,0
0,25,1,0,0,3,0
0,49,12,0,0,3,0
0,49,8,0,0,3,0
0,49,6,0,0,3,0
2,48,17,7,10,3,1
0,40,12,0,0,3,0
0,25,13,0,0,3,0
0,49,6,0,0,3,1
0,49,4,0,0,3,1
2,49,16,7,10,3,1
0,49,12,0,0,3,0
0,49,7,0,0,3,0
0,25,17,1,11,3,0
2,40,13,0,0,3,0
0,48,1,0,0,3,0
0,25,13,0,0,3,0
0,25,11,0,0,3,0
0,25,2,0,0,3,0
0,25,17,3,11,3,1
0,24,3,0,0,3,0
0,25,11,0,0,3,0
6,48,12,0,0,3,0
2,48,11,0,0,3,1
2,48,8,0,0,3,0
0,48,6,0,0,3,0
0,48,2,0,0,3,0
0,48,1,0,0,3,0
2,25,17,7,12,3,1
2,25,14,0,0,3,1
0,25,7,0,0,3,0
1,48,10,0,0,3,0
0,48,18,7,12,3,1
0,25,16,7,9,3,0
0,26,5,0,0,3,0
2,26,19,7,12,3,0
2,26,17,1,11,3,1
0,26,15,0,0,3,0
0,26,9,0,0,3,0
1,26,11,0,0,3,1
1,26,9,0,0,3,0
0,26,7,0,0,3,0
0,26,6,0,0,3,0
0,26,4,0,0,3,0
0,26,1,0,0,3,0
0,49,15,0,0,3,1
2,48,19,1,12,3,1
0,48,15,0,0,3,0
0,25,10,0,0,3,0
0,26,13,0,0,3,0
0,24,15,0,0,3,1
0,48,17,7,10,3,0
0,48,9,0,0,3,0
0,48,11,0,0,3,1
0,48,8,0,0,3,0
3,48,14,0,0,3,0
0,48,8,0,0,3,0
0,48,5,0,0,3,0
3,24,15,0,0,3,1
0,48,1,0,0,3,0
2,48,16,1,11,3,1
0,48,13,0,0,3,0
0,48,7,0,0,3,0
0,48,19,5,10,3,0
0,48,6,0,0,3,0
3,48,18,7,10,3,0
0,48,11,0,0,3,0
0,48,1,0,0,3,0
0,48,3,0,0,3,0
0,48,10,0,0,3,0
1,48,5,0,0,3,0
0,48,2,0,0,3,0
0,24,15,0,0,3,0
0,48,1,0,0,3,0
2,48,11,0,0,3,1
0,48,7,0,0,3,0
0,48,1,0,0,3,0
5,24,18,6,11,3,0
0,24,16,7,8,3,0
0,24,13,0,0,3,0
1,24,9,0,0,3,0
1,24,7,0,0,3,0
0,24,1,0,0,3,0
0,24,6,0,0,3,0
2,48,17,6,10,3,0
0,48,16,7,9,3,0
2,26,13,0,0,3,0
0,26,11,0,0,3,0
1,26,10,0,0,3,0
0,26,5,0,0,3,0
0,26,3,0,0,3,0
5,26,0,0,0,3,0
5,26,18,7,11,3,0
2,26,17,7,11,3,0
0,26,7,0,0,3,0
0,26,3,0,0,3,0
1,26,13,0,0,3,0
2,26,12,0,0,3,0
2,26,8,0,0,3,0
0,26,7,0,0,3,0
1,26,7,0,0,3,0
3,26,4,0,0,3,0
2,26,15,0,0,3,0
0,26,0,0,0,3,0
0,26,13,0,0,3,0
2,26,9,0,0,3,0
2,26,8,0,0,3,0
1,26,8,0,0,3,0
0,26,1,0,0,3,0
3,26,10,0,0,3,0
1,26,18,7,12,3,1
0,26,17,7,11,3,0
1,26,16,7,9,3,0
2,26,15,0,0,3,1
3,26,15,0,0,3,0
0,26,9,0,0,3,0
3,26,13,0,0,3,0
0,24,8,0,0,3,0
0,48,19,7,11,3,0
0,48,3,0,0,3,0
0,48,2,0,0,3,0
1,48,13,0,0,3,1
2,48,15,0,0,3,0
2,48,9,0,0,3,1
0,48,7,0,0,3,0
2,48,6,0,0,3,0
1,48,5,0,0,3,0
2,24,11,0,0,3,1
0,26,5,0,0,3,0
0,48,10,0,0,3,0
0,48,8,0,0,3,0
0,48,7,0,0,3,0
2,48,10,0,0,3,1
3,48,16,7,10,3,1
0,48,10,0,0,3,0
0,48,8,0,0,3,0
0,24,7,0,0,3,0
3,48,11,0,0,3,0
0,48,4,0,0,3,0
3,48,14,0,0,3,0
0,24,12,0,0,3,0
0,24,6,0,0,3,0
0,24,2,0,0,3,0
0,24,13,0,0,3,1
0,26,7,0,0,3,0
1,26,8,0,0,3,0
0,26,9,0,0,3,0
0,26,19,7,13,3,0
0,26,6,0,0,3,0
2,26,13,0,0,3,0
0,26,3,0,0,3,0
0,24,18,7,12,3,0
2,26,0,0,0,3,1
0,26,12,0,0,3,0
0,26,11,0,0,3,0
0,26,6,0,0,3,0
2,24,16,7,8,3,0
0,48,11,0,0,3,0
1,48,11,0,0,3,0
0,48,4,0,0,3,0
0,48,19,8,12,3,1
1,48,18,1,12,3,0
2,48,7,0,0,3,0
0,48,5,0,0,3,0
1,24,12,0,0,3,0
1,24,8,0,0,3,0
1,24,17,1,11,3,0
0,24,12,0,0,3,0
0,24,5,0,0,3,0
0,24,3,0,0,3,0
3,26,15,0,0,3,0
1,26,12,0,0,3,1
0,26,12,0,0,3,0
0,26,2,0,0,3,0
4,26,16,7,9,3,1
2,26,11,0,0,3,0
0,24,18,1,11,3,0
1,48,13,0,0,3,0
2,48,12,0,0,3,0
1,48,10,0,0,3,0
0,48,8,0,0,3,0
2,48,10,0,0,3,1
1,48,18,1,12,3,1
0,48,12,0,0,3,0
0,48,10,0,0,3,0
1,24,16,3,9,3,0
2,24,12,0,0,3,0
1,24,9,0,0,3,0
0,24,4,0,0,3,0
2,24,0,0,0,3,0
0,24,10,0,0,3,0
0,24,6,0,0,3,0
0,24,3,0,0,3,0
0,48,5,0,0,3,0
2,24,8,0,0,3,0
2,24,15,0,0,3,0
0,48,13,0,0,3,0
2,48,10,0,0,3,0
0,48,7,0,0,3,0
0,48,3,0,0,3,0
0,48,0,0,0,3,0
0,24,8,0,0,3,0
2,26,16,7,9,3,0
1,26,13,0,0,3,0
0,26,11,0,0,3,0
0,26,12,0,0,3,0
1,26,11,0,0,3,0
0,26,8,0,0,3,0
0,48,2,0,0,3,0
0,48,4,0,0,3,0
0,48,10,0,0,3,0
0,48,9,0,0,3,0
0,26,6,0,0,3,0
0,26,3,0,0,3,0
4,26,0,0,0,3,0
1,26,0,0,0,3,0
0,48,9,0,0,3,0
1,24,13,0,0,3,0
4,24,12,0,0,3,0
1,24,11,0,0,3,0
0,48,8,0,0,3,0
0,48,5,0,0,3,0
2,26,16,7,10,3,1
0,24,17,8,12,3,0
0,24,7,0,0,3,0
0,24,11,0,0,3,0
3,48,14,0,0,3,0
2,48,12,0,0,3,0
0,48,10,0,0,3,0
0,48,8,0,0,3,0
0,48,8,0,0,3,0
0,48,10,0,0,3,0
1,48,12,0,0,3,0
0,48,11,0,0,3,0
0,48,8,0,0,3,0
1,24,18,7,12,3,0
0,24,9,0,0,3,0
0,26,11,0,0,3,0
0,26,4,0,0,3,0
0,26,4,0,0,3,0
1,26,14,0,0,3,0
0,26,3,0,0,3,0
1,26,14,0,0,3,0
0,26,11,0,0,3,0
0,26,9,0,0,3,0
0,26,2,0,0,3,0
0,26,1,0,0,3,0
5,48,11,0,0,3,0
0,48,18,1,11,3,0
0,24,2,0,0,3,0
0,24,8,0,0,3,0
0,24,13,0,0,3,0
4,24,14,0,0,3,1
0,24,5,0,0,3,0
1,24,10,0,0,3,0
0,24,4,0,0,3,0
2,48,17,7,11,3,0
0,48,9,0,0,3,0
1,48,9,0,0,3,0
1,48,4,0,0,3,0
2,48,9,0,0,3,1
2,48,13,0,0,3,1
3,24,18,7,12,3,1
0,24,7,0,0,3,0
0,24,14,0,0,3,0
1,24,10,0,0,3,0
0,24,6,0,0,3,0
1,24,6,0,0,3,0
0,24,13,0,0,3,0
0,24,9,0,0,3,0
0,24,6,0,0,3,0
0,24,10,0,0,3,0
1,24,14,0,0,3,0
2,24,16,7,9,3,1
0,24,3,0,0,3,0
2,48,18,7,11,3,0
0,48,11,0,0,3,0
0,48,0,0,0,3,0
0,26,14,0,0,5,0
0,26,17,1,11,5,0
3,24,14,0,0,5,1
1,26,18,7,12,5,1
0,26,15,0,0,5,1
0,26,12,0,0,5,0
3,26,21,0,0,5,1
1,48,9,0,0,5,0
2,48,7,0,0,5,0
0,48,4,0,0,5,0
0,48,9,0,0,5,0
0,48,5,0,0,5,0
0,26,12,0,0,5,0
0,26,5,0,0,5,0
1,49,18,0,0,5,0
0,26,8,0,0,5,0
0,48,5,0,0,5,0
1,48,13,0,0,5,0
1,48,12,0,0,5,1
1,26,18,1,11,5,0
0,26,15,0,0,5,0
1,40,16,1,10,5,0
0,48,12,0,0,5,0
3,26,16,7,9,5,1
1,48,20,1,12,5,1
1,48,18,7,13,5,1
0,48,19,7,12,5,0
2,49,12,0,0,5,1
0,26,16,7,10,5,0
0,26,9,0,0,5,1
0,26,6,0,0,5,1
1,26,17,7,10,5,0
1,26,10,0,0,5,1
0,26,10,0,0,5,0
0,26,10,0,0,5,0
2,40,20,1,12,5,0
1,40,20,1,12,5,0
5,40,15,0,0,5,0
0,40,5,0,0,5,0
4,40,15,0,0,5,1
0,26,16,7,9,5,0
0,26,13,0,0,5,0
1,48,19,1,12,5,1
0,48,7,0,0,5,0
1,48,11,0,0,5,1
1,25,17,7,11,5,1
0,25,14,0,0,5,1
0,25,13,0,0,5,0
0,48,13,0,0,5,1
0,48,12,0,0,5,0
0,48,10,0,0,5,0
1,48,20,7,13,5,1
0,48,8,0,0,5,0
0,25,20,7,14,5,1
1,25,17,7,11,5,0
0,48,4,0,0,5,0
4,26,19,5,12,5,0
1,26,17,7,10,5,1
0,25,20,1,13,5,0
0,25,15,0,0,5,0
1,26,15,0,0,5,1
0,48,16,7,9,5,0
3,26,20,0,0,5,1
3,48,18,3,12,5,0
0,48,4,0,0,5,0
1,25,17,0,0,5,1
0,25,15,0,0,5,0
0,26,4,0,0,5,0
1,26,16,3,10,5,1
